Scholarship Name,Eligibility,Deadline,Link
Charles Wallace India Trust Short Research Grants 2025-26,"be an Indian citizen residing in India be between 25 and 45 years of age have completed postgraduate studies have 4 or more years of research or experience in their specialisation,OR be in the final stages of the doctorate studies be proficient in the English language have not received a CWIT grant within the previous 5 years",N/A,https://www.buddy4study.com/scholarship/charles-wallace-india-trust-short-research-grants-2025-26
Ramalingaswami Re-entry Fellowship 2024-25,"be an Indian national not be more than 45 years old as on the closing date of the application possess one of the following qualifications:Ph.D./M.D. degree or equivalent in Life Sciences/Agriculture, Bioinformatics, or allied areasM.Tech. degree in Engineering or Technology/Medicine with at least three years of postdoctoral research experience in overseas research laboratories Ph.D./M.D. degree or equivalent in Life Sciences/Agriculture, Bioinformatics, or allied areas M.Tech. degree in Engineering or Technology/Medicine with at least three years of postdoctoral research experience in overseas research laboratories have an outstanding track record evidenced by peer-reviewed publications and international awards",N/A,https://www.buddy4study.com/scholarship/ramalingaswami-re-entry-fellowship-2024-25
"Merit-cum-Means Scholarship, West Bengal 2024-25","be a domicile of West Bengal have secured admission to a technical/professional course in a recognsied institution within the state have secured at least 50% marks in the last Higher Secondary/Graduation Examination have an annual income of less than ₹2,50,000 from all sources",N/A,https://www.buddy4study.com/scholarship/merit-cum-means-scholarship-west-bengal-2024-25
Charpak Bachelor's Scholarship 2025,be an Indian national or an OCI card holder be 23 years old or younger at the time of application have completed secondary school in India have applied for bachelor's degree program have never previously studied at an educational institution in France,N/A,https://www.buddy4study.com/scholarship/charpak-bachelor-s-scholarship-2025
Prof. C.R. Rao National Award in Statistics 2024-25,be an Indian national be less than 45 years of age on 31st December 2025 have significant contributions in the field of statistics,N/A,https://www.buddy4study.com/scholarship/prof-c-r-rao-national-award-in-statistics-2024-25
"Shahid Madho Singh Haath Kharcha Yojna, Odisha 2025","be a permanent resident of Odisha belong to the Scheduled Tribe (ST) community be pursuing studies at a government/aided school or high school have an annual family income not exceeding ₹2,50,000",N/A,https://www.buddy4study.com/scholarship/shahid-madho-singh-haath-kharcha-yojna-odisha-2025
"Swami Vivekananda Merit Cum Means Scholarship Scheme for Minorities, West Bengal 2024-25","be an Indian national be a domicile of West Bengal be studying in Class 11 to postgraduate level at an institution located in West Bengal belong to the minority community (Buddhist, Christian, Jain Muslim, Parsee & Sikh) of West Bengal",N/A,https://www.buddy4study.com/scholarship/swami-vivekananda-merit-cum-means-scholarship-scheme-for-minorities-west-bengal-2024-25
IIT Tirupati Graduates/Diploma Apprenticeship Training Program 2025,"be an Indian national be qualified from Indian Institutions recognised by Appropriate Statutory Authority be a graduate or a diploma holder in the field of science (B.Tech, Computer Science, B.E. and others) be above 18 years of age not have more than one year of work experience",N/A,https://www.buddy4study.com/scholarship/iit-tirupati-graduates-diploma-apprenticeship-training-program-2025
Global Citizen Scholarship 2025-26,be a student of class 10 who is going to appear for the board examination have scored:CBSE/ ICSE/ State Board Applicants - 85% or above in Class 9 annual and Class 10 pre-board examinationIGCSE/GCSE Applicants - 7A or above in Class 9 and 8A or above in Class 10 pre-board examinationOther Boards - 85% or above equivalent in Class 9 annual and Class 10 pre-board examination CBSE/ ICSE/ State Board Applicants - 85% or above in Class 9 annual and Class 10 pre-board examination IGCSE/GCSE Applicants - 7A or above in Class 9 and 8A or above in Class 10 pre-board examination Other Boards - 85% or above equivalent in Class 9 annual and Class 10 pre-board examination wish to pursue Class 11 and 12 on a Global School Group campus,N/A,https://www.buddy4study.com/scholarship/global-citizen-scholarship-2025-26
Wells Mountain Foundation Scholarship 2025,"be 35 years old or younger as of 1 August 2025 have completed secondary education or be in the final year, with above-average to excellent grade be applying to a university or currently enrolled in classes for their first undergraduate degree plan to live and work in their home country after graduation have participated in volunteer service prior to applying for the scholarship and demonstrate a commitment to volunteering within their community during their studies display the need for financial assistance",N/A,https://www.buddy4study.com/scholarship/wells-mountain-foundation-scholarship-2025
Summer Research Internship Program (SRIP) 2025,be an Indian national be pursuing a bachelor’s or master’s degree at an institution in India,N/A,https://www.buddy4study.com/scholarship/summer-research-internship-program-srip-2025
Quad Fellowship 2025,"be a citizen or legal permanent resident of Australia, India, Japan, or the United States – or any of the 10 Southeast Asian Countries – Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, or Vietnam be at least 18 years of age at the time of application submission hold a bachelor’s degree or its equivalent in a STEM field by August 2025 have a demonstrated record of superior academic achievement at the undergraduate level",N/A,https://www.buddy4study.com/scholarship/quad-fellowship-2025
NITI Internship Scheme 2025,be a bonafide student of any recognized university/institution within India or abroad be an undergraduate student having completed/appeared in the term-end exams of the second year/4th semester of the bachelor's degree course and secured not less than 85% or equivalent marks in Class 12 be a graduate student having completed/appeared in the term-end exams of the first-year/2nd semester of the postgraduate programme or perusing research/Ph.D. and secured not less than 70% or equivalent marks in graduation have appeared in the final exam or just completed Graduation/PG and waiting for admission to higher studieshave secured 70% or more cumulative marks in all the years/semesters of the graduation/postgraduation till the date of application have secured 70% or more cumulative marks in all the years/semesters of the graduation/postgraduation till the date of application,N/A,https://www.buddy4study.com/scholarship/niti-internship-scheme-2025
NIT Rourkela Summer Internship Programme 2025,be pursuing one of the following:a B.E./B.Tech and appeared for at least 4th-semester examinationa B. Arch/Integrated M.Sc./Integrated M.Tech/Dual degree and has appeared for at least 6th-semester examinationan M.Sc/MA/MBA and has appeared for at least 2nd-semester examination a B.E./B.Tech and appeared for at least 4th-semester examination a B. Arch/Integrated M.Sc./Integrated M.Tech/Dual degree and has appeared for at least 6th-semester examination an M.Sc/MA/MBA and has appeared for at least 2nd-semester examination have a good academic record possess the marks/grade sheet from all the previous semesters be free for the internship tenure (16th May - 15 July 2025),N/A,https://www.buddy4study.com/scholarship/nit-rourkela-summer-internship-programme-2025
M K Bhan-Young Researcher Fellowship Programme 2024-25,"be an Indian National be below 35 years of age as of the closing date of the submission of the application hold a Ph.D. degree in any branch of Life Sciences/Biotechnology or allied areas have an excellent track record as evidenced by peer-reviewed publications, technologies developed, patents (if any) not hold a permanent position in any institute/university",N/A,https://www.buddy4study.com/scholarship/m-k-bhan-young-researcher-fellowship-programme-2024-25
South Asia Undergraduate Excellence Award Scholarship 2025,be a citizen of India be classified as an 'overseas' student for tuition fee purposes hold an offer to any full-time undergraduate degree program at the University of Nottingham in the academic year 2025 have a working knowledge of the English language,N/A,https://www.buddy4study.com/scholarship/south-asia-undergraduate-excellence-award-scholarship-2025
"University of Melbourne, SAF Music Provident Fund 2025",be an Australian/domestic or an International student be an undergraduate student be enrolled in the University of Melbourne Conservatorium of Music in either the Jazz and Improvisation or Interactive Composition disciplines,N/A,https://www.buddy4study.com/scholarship/university-of-melbourne-saf-music-provident-fund-2025
Nehru Fellowship in Politics and Elections 2025,be an Indian citizen demonstrate hunger and a desire to excel beyond expectations show extreme ownership to drive work be adaptable to a dynamic work environment,N/A,https://www.buddy4study.com/scholarship/nehru-fellowship-in-politics-and-elections-2025
"Maintenance Allowance to VJNT and SBC Students in Professional Courses, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to Vimukta Jati and Nomadic Tribes (VJNT) and Special Backward Class (SBC) category be pursuing professional courses in Engineering, Medical, Veterinary, Architecture, and Agriculture, etc. be eligible for a post-matric scholarship have an annual family income of less than or equal to ₹1,00,000",N/A,https://www.buddy4study.com/scholarship/maintenance-allowance-to-vjnt-and-sbc-students-in-professional-courses-maharashtra-2024-25
Arturo Falaschi PhD Fellowships ICGEB 2025-26,"be a national of an ICGEB member state (including India) hold an M.Sc. degree to pursue research at ICGEB Campus, New Delhi have a good working knowledge of the English language, supported by a proficiency certificate (TOEFL, Cambridge certificate or equivalent) [Note:- Not required when scholastic education has been undertaken in English]",N/A,https://www.buddy4study.com/scholarship/arturo-falaschi-phd-fellowships-icgeb-new-delhi
"Arturo Falaschi Postdoctoral Fellowships, ICGEB, New Delhi 2025","be below the age of 35 years be a national of an ICGEB Member State hold a recent Ph.D. degree in Life Sciences or have at least 3 years of research experience have a good working knowledge of the English language, supported by a proficiency certificate (TOEFL, Cambridge certificate or equivalent)",N/A,https://www.buddy4study.com/scholarship/arturo-falaschi-postdoctoral-fellowships-icgeb-new-delhi-2025
The Gandhi Fellowship 2025-27,"be between 18 to 26 years of age be an achiever in academics and extracurricular activities (Sports, NCC, NSS, voluntary work, performing arts, debate, literature etc.) be sensitive towards the pressing problems of the nation be a graduate and postgraduate degree holder from any of the following diverse streams -EngineeringApplied and Pure ScienceCommerceManagementHumanities and Liberal ArtsSocial WorkPsychology and Behavioural ScienceMathematicsJournalism and Mass CommunicationEducationLaw Engineering Applied and Pure Science Commerce Management Humanities and Liberal Arts Social Work Psychology and Behavioural Science Mathematics Journalism and Mass Communication Education Law",N/A,https://www.buddy4study.com/scholarship/the-gandhi-fellowship-2025
"Tuition Fees and Examination Fees to SBC Students, Maharashtra 2024-25","be an Indian citizen be a domicile of Maharashtra belong to the Special Backward Classes (SBC) category be pursuing a government-approved course at the post-matric level (Class 11 and above) in a government/government-aided/private institution have taken admission through the Centralised Admission Process (CAP) process (for professional courses) have an annual family income of less than or equal to ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/tuition-fees-and-examination-fees-to-sbc-students-maharashtra-2024-25
"DOA Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25","be a domicile of Maharashtra be the child of a registered laborer or Alpabhudarak (marginal landholder) be enrolled in a professional course at a government, non-government aided, partially aided-unaided, or permanently unaided college, or a non-agricultural university or sub-center (excluding private or self-financed private universities) under the Directorate of Art Department have taken admission under the general category be a hosteller (staying in a government/private hostel, paying guest accommodation, or as a tenant) have an annual family income of less than ₹8,00,000 attempt every semester or annual exam",N/A,https://www.buddy4study.com/scholarship/doa-dr-punjabrao-deshmukh-vasatigruh-nirvah-bhatta-yojna-maharashtra-2024-25
Inlaks Shivdasani Scholarships 2025,"be an Indian passport holder who is residing in India at the time of application born on or after 1st January 1995 hold a first-class degree or equivalent from a recognised university/institution in India fulfill the below-mentioned academic criteria:Social Sciences, Humanities, Law, Fine Arts, Architecture, and related subjects: a minimum academic grade of 65%, CGPA 6.8/10, or GPA 2.6/4Mathematics, Sciences, Environment, and related subjects: a minimum academic grade of 70%, CGPA 7.2/10, or GPA 2.8/4 Social Sciences, Humanities, Law, Fine Arts, Architecture, and related subjects: a minimum academic grade of 65%, CGPA 6.8/10, or GPA 2.6/4 Mathematics, Sciences, Environment, and related subjects: a minimum academic grade of 70%, CGPA 7.2/10, or GPA 2.8/4 hold an English language certification as a conditional part of their offer letter have received a valid deferred offer letter for the academic year 2025-26",N/A,https://www.buddy4study.com/scholarship/inlaks-shivdasani-scholarships-2025
Aga Khan Foundation International Scholarship 2025-26,"be a citizen of one of the following countries:IndiaAfghanistanBangladeshCanadaEgyptFranceKenyaKyrgyz RepublicMadagascarMozambiquePakistanPortugalSyriaTajikistanTanzaniaUgandathe United States India Afghanistan Bangladesh Canada Egypt France Kenya Kyrgyz Republic Madagascar Mozambique Pakistan Portugal Syria Tajikistan Tanzania Uganda the United States be enrolled in a master's or Ph.D. degree at a reputable institution have excellent academic records have constructed a thoughtful, reliable, multi-source funding plan possesses strong professional experience, extracurricular achievements, volunteer contributions, and leadership skills",N/A,https://www.buddy4study.com/scholarship/aga-khan-foundation-international-scholarship-2025-26
"MAFSU Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25","be a domicile of Maharashtra be a child of a registered laborer, child of an alpabhudarak, or both be a hosteller have taken admission in a professional and technical course (UG/PG degree) in a recognized institution have taken admission under the general category have attempted every semester or annual exam have a minimum of 50% attendance in the previous semester (except for fresh admits to college) have an annual family income of less than ₹6,00,000 not have a gap of 2 years during the course",N/A,https://www.buddy4study.com/scholarship/mafsu-dr-punjabrao-deshmukh-vasatigruh-nirvah-bhatta-yojna-maharashtra-2024-25
"Arturo Falaschi Short-Term Postdoctoral Fellowships, ICGEB, New Delhi 2025","be a citizen of an ICGEB member state be below 35 years of age hold a Ph.D. degree in Life Sciences OR have a minimum of 3 years of research experience have a good working knowledge of the English language, supported by a proficiency certificate (TOEFL, Cambridge certificate, or equivalent)",N/A,https://www.buddy4study.com/scholarship/arturo-falaschi-short-term-postdoctoral-fellowships-icgeb-new-delhi-2025
K.C. Mahindra Scholarships for Post-Graduate Studies Abroad 2025,be an Indian citizen possess a first-class degree or equivalent diploma of similar standard from a recognised university have secured admission or have applied for admission in reputable foreign universities for courses commencing from August 2025 but not later than February 2026,N/A,https://www.buddy4study.com/scholarship/k-c-mahindra-scholarships-for-post-graduate-studies-abroad-2025
"Smart Fellowships, ICGEB 2025",be a national of ICGEB Member states be either registered for a Ph.D. degree OR have obtained their Ph.D. degree within the last five years be actively engaged in research at a research institution,N/A,https://www.buddy4study.com/scholarship/smart-fellowships-icgeb-2025
Sightsavers India Fellowship Program 2025-26,"hold a postgraduate degree (MS) or diploma (DNB/DO) in Ophthalmology from a recognized institute/university in India possess a strong knowledge of clinical ophthalmology demonstrate a strong commitment to lifelong learning, adaptability, professional ethics, and emotional resilience",N/A,https://www.buddy4study.com/scholarship/sightsavers-india-fellowship-program-2025-26
"Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scholarship Scheme, Maharashtra 2024-25","be a domiciled resident of Maharashtra belong to the Economically Backward Classes (EBC) category have applied for a degree course in one of the following disciplines at a government-aided, corporation, or private unaided college:Bachelor of Medicine, Bachelor of Surgery (MBBS)Bachelor of Dental Surgery (BDS)Bachelor of Ayurvedic Medicine and Surgery (BAMS)Bachelor of Homeopathic Medicine and Surgery (BHMS)Bachelor of Physiotherapy (BPTh)B.Sc. NursingBachelor of Unani Medicine and Surgery (BUMS)Bachelor in Prosthetics and Orthotics (BPO)Bachelor in Audiology and Speech-Language Pathology (BASLP)Dual-Degree programs (if applicable) Bachelor of Medicine, Bachelor of Surgery (MBBS) Bachelor of Dental Surgery (BDS) Bachelor of Ayurvedic Medicine and Surgery (BAMS) Bachelor of Homeopathic Medicine and Surgery (BHMS) Bachelor of Physiotherapy (BPTh) B.Sc. Nursing Bachelor of Unani Medicine and Surgery (BUMS) Bachelor in Prosthetics and Orthotics (BPO) Bachelor in Audiology and Speech-Language Pathology (BASLP) Dual-Degree programs (if applicable) have secured admission under the general/EBC category have an annual family income of not more than ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/rajarshri-chhatrapati-shahu-maharaj-fee-reimbursement-scholarship-scheme-maharashtra-2024-25
"Dr. Panjabrao Deshmukh Hostel Maintenance Allowance Scheme, Maharashtra 2024-25","be a permanent resident of Maharashtra be a child of a registered labourer and/or Alpabhudharak shetkari (marginal landholders) have applied for a degree course in one of the following disciplines in a government-aided, corporation, or private unaided college:Bachelor of Medicine, Bachelor of Surgery (MBBS)Bachelor of Dental Surgery (BDS)Bachelor of Ayurvedic Medicine and Surgery (BAMS)Bachelor of Homeopathic Medicine and Surgery (BHMS)Bachelor of Physiotherapy (BPTH)B.Sc. NursingBachelor of Unani Medicine and Surgery (BUMS)Bachelor in Prosthetics and Orthotics (BPO)Bachelor in Audiology and Speech-Language Pathology (BASLP)Dual-Degree programs Bachelor of Medicine, Bachelor of Surgery (MBBS) Bachelor of Dental Surgery (BDS) Bachelor of Ayurvedic Medicine and Surgery (BAMS) Bachelor of Homeopathic Medicine and Surgery (BHMS) Bachelor of Physiotherapy (BPTH) B.Sc. Nursing Bachelor of Unani Medicine and Surgery (BUMS) Bachelor in Prosthetics and Orthotics (BPO) Bachelor in Audiology and Speech-Language Pathology (BASLP) Dual-Degree programs have taken admission in hostels located in major cities of Maharashtra like Mumbai, Pune, Aurangabad, Nagpur, or other locations have an annual family income of less than ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/dr-panjabrao-deshmukh-hostel-maintenance-allowance-scheme-2024-25
"Vocational Training Fee Reimbursement for OBC, SEBC, VJNT & SBC Students, Maharashtra 2024-25","be a domicile of Maharashtra belong to the Other Backward Classes (OBC), Socially and Economically Backward Classes (SEBC), Vimukta Jati and Nomadic Tribes (VJNT), or Special Backward Category (SBC) category have been admitted to a Directorate General of Training (DGT), New Delhi, or Manufacturing, Skills and Certification Vocational Training (MSCVT)-approved course have been admitted through the public-private partnership (PPP) scheme in a Government Skill Development or private institute have an annual family income of ₹8,00,000 or less",N/A,https://www.buddy4study.com/scholarship/vocational-training-fee-reimbursement-for-obc-sebc-vjnt-sbc-students-maharashtra-2024-25
Unimoni Student Star Scholarship 2024,be an Indian citizen hold a valid offer letter from the university (if currently pursuing studies abroad) have scored a minimum of 60% marks in Class 12/diploma/graduation from CBSE/ICSE/UGC/State/Central government-recognized institutions,N/A,https://www.buddy4study.com/scholarship/unimoni-student-star-scholarship-2024
"Government of India Post-Matric Scholarship for SC Students, Maharashtra 2024-25","be a domicile of Maharashtra belong to the Scheduled Caste (SC) or Navbouddha community be studying in Class 11 or above have completed Secondary School Certificate (SSC) or equivalent matriculation have an annual income of less than or equal to ₹2,50,000 from all sources",N/A,https://www.buddy4study.com/scholarship/government-of-india-post-matric-scholarship-for-sc-students-maharashtra-2024-25
"Vocational Education Fee Reimbursement, Maharashtra 2024-25","be a domicile of Maharashtra belong to the Scheduled Tribe (ST) category be enrolled in one of the following vocational courses:-EngineeringPharmacyAnimal HusbandryVaastu ShastraDairy DevelopmentMaster of Business Administration (MBA), orMaster of Computer Applications (MCA) Engineering Pharmacy Animal Husbandry Vaastu Shastra Dairy Development Master of Business Administration (MBA), or Master of Computer Applications (MCA) have an annual family income of no more than ₹2,50,000 from all sources",N/A,https://www.buddy4study.com/scholarship/vocational-education-fee-reimbursement-maharashtra-2024-25
"Vocational Training Fee Reimbursement for ST Students, Maharashtra 2024-25","be a resident of Maharashtra belong to the Scheduled Tribe (ST) category have been admitted to seats under the PPP scheme in Government or Private Industrial Training Institutes (ITIs) through the centralised admission process have an annual income above ₹2,50,000 and less than or up to ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/vocational-training-fee-reimbursement-for-st-students-maharashtra-2024-25
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojna, Maharashtra 2024-25","be a domicile of Maharashtra be pursuing a professional or non-professional course approved by the Director of Higher Education (DHE) at a government or government-aided university/college have taken admission under the General or Socially and Economically Backward Classes (SEBC) category have an annual family income of up to ₹8,00,000",N/A,https://www.buddy4study.com/scholarship/rajarshi-chhatrapati-shahu-maharaj-shikshan-shulk-shishyavrutti-yojna-maharashtra-2024-25
"Assistance to Meritorious Students Scholarship - Junior Level, Maharashtra 2024-25",be a domicile of Maharashtra be a student of Class 11 or 12 in a recognised institution/school have achieved top ranks in the secondary and higher secondary examinations hold a DHE-sanctioned letter,N/A,https://www.buddy4study.com/scholarship/assistance-to-meritorious-students-scholarship-junior-level-maharashtra-2024-25
"Education Concession to the Children of Ex-Servicemen, Maharashtra 2024-25","be a domicile of Maharashtra be a child, wife, or widow of ex-servicemen be studying in a government/government-aided college in Maharashtra",N/A,https://www.buddy4study.com/scholarship/education-concession-to-the-children-of-ex-servicemen-maharashtra-2024-25
"Eklavya Scholarship, Maharashtra 2024-25","be a graduate domiciled in Maharashtra have secured a minimum of 60% marks in Law, Commerce, or Arts, and 70% in Science, from a recognized Maharashtra institution/university have an annual family income of ₹75,000 or less not be employed part-time or full-time",N/A,https://www.buddy4study.com/scholarship/eklavya-scholarship-maharashtra-2024-25
"State Government Open Merit Scholarship, Maharashtra 2024-25","be a domicile of Maharashtra have passed Class 12 from a recognised institution have secured a minimum of 60% marks be pursuing a graduation degree in Arts, Commerce, Science, or Law",N/A,https://www.buddy4study.com/scholarship/state-government-open-merit-scholarship-maharashtra-2024-25
"Scholarship to Meritorious Students Possessing Mathematics/Physics, Maharashtra 2024-25","be an Indian national be a domicile of Maharashtra have secured at least 60% marks in the Science stream of Class 12, or more than 60% in Mathematics and Physics be pursuing a graduation degree in Science have Mathematics and Physics as main subjects",N/A,https://www.buddy4study.com/scholarship/scholarship-to-meritorious-students-possessing-mathematics-physics-maharashtra-2024-25
"Government Vidyaniketan Scholarship, Maharashtra 2024-25",be an Indian national be a domicile of Maharashtra have passed Class 10 from Government Vidyaniketan have scored 60% marks in Class 10 board exams,N/A,https://www.buddy4study.com/scholarship/government-vidyaniketan-scholarship-maharashtra-2024-25
"State Government Daxshina Adhichatra Scholarship, Maharashtra 2024-25","be a domicile of Maharashtra be a graduate from government institutes and colleges/non-agricultural university of Maharashtra have been admission in a postgraduate course in one of the following government colleges:-Elphinstone College, Bombay (6)Institute of Science, Bombay (6)Ismail Yusuf College, Jogeshwari (4)Sydenham College of Commerce (4)Government Law College, Bombay (4)Rajaram College, Kolhapur (6)College of Science, Nagpur (6)Nagpur Mahavidyalaya, Nagpur (6)Vidarbha Mahavidyalaya, Amravati (6)Government Arts and Science College, Aurangabad (6)Mumbai University (4)Pune University (4)Nagpur University (4)Kolhapur University (4)SNDT University (2) Elphinstone College, Bombay (6) Institute of Science, Bombay (6) Ismail Yusuf College, Jogeshwari (4) Sydenham College of Commerce (4) Government Law College, Bombay (4) Rajaram College, Kolhapur (6) College of Science, Nagpur (6) Nagpur Mahavidyalaya, Nagpur (6) Vidarbha Mahavidyalaya, Amravati (6) Government Arts and Science College, Aurangabad (6) Mumbai University (4) Pune University (4) Nagpur University (4) Kolhapur University (4) SNDT University (2)",N/A,https://www.buddy4study.com/scholarship/state-government-daxshina-adhichatra-scholarship-maharashtra-2024-25
